,0,1
61,[0.18398465 0.18398465 0.18398465 ... 0.24568415 0.24568415 0.24568415],"('DB00860',)"
62,[0.17796163 0.17796163 0.17796163 ... 0.237948   0.237948   0.237948  ],"('DB01130',)"
63,[0.17931929 0.17931929 0.17931929 ... 0.23387426 0.23387426 0.23387426],"('DB00588',)"
64,[0.17971498 0.17971498 0.17971498 ... 0.23725495 0.23725495 0.23725495],"('DB00635',)"
65,[0.18285337 0.18285337 0.18285337 ... 0.24108028 0.24108028 0.24108028],"('DB08970',)"
66,[0.18043453 0.18043453 0.18043453 ... 0.23531476 0.23531476 0.23531476],"('DB00741',)"
67,[0.18166673 0.18166673 0.18166673 ... 0.23851731 0.23851731 0.23851731],"('DB01047',)"
68,[0.17819005 0.17819005 0.17819005 ... 0.23267454 0.23267454 0.23267454],"('DB11921',)"
69,[0.19036861 0.19036861 0.19036861 ... 0.25464353 0.25464353 0.25464353],"('DB00959',)"
70,[0.1889078 0.1889078 0.1889078 ... 0.2513498 0.2513498 0.2513498],"('DB00764',)"
71,[0.18212883 0.18212883 0.18212883 ... 0.23816007 0.23816007 0.23816007],"('DB00394',)"
72,[0.17974344 0.17974344 0.17974344 ... 0.23587388 0.23587388 0.23587388],"('DB09091',)"
73,[0.17619696 0.17619696 0.17619696 ... 0.23548052 0.23548052 0.23548052],"('DB00443',)"
74,[0.17681044 0.17681044 0.17681044 ... 0.22907421 0.22907421 0.22907421],"('DB00596',)"
75,[0.17898725 0.17898725 0.17898725 ... 0.23479924 0.23479924 0.23479924],"('DB00591',)"
76,[0.17812306 0.17812306 0.17812306 ... 0.23525971 0.23525971 0.23525971],"('DB00687',)"
77,[0.18849126 0.18849126 0.18849126 ... 0.24978179 0.24978179 0.24978179],"('DB08905',)"
78,[0.17649826 0.17649826 0.17649826 ... 0.23005918 0.23005918 0.23005918],"('DB00240',)"
79,[0.18103945 0.18103945 0.18103945 ... 0.240626   0.240626   0.240626  ],"('DB00547',)"
80,[0.18423691 0.18423691 0.18423691 ... 0.23928222 0.23928222 0.23928222],"('DB13158',)"
81,[0.18248007 0.18248007 0.18248007 ... 0.24087495 0.24087495 0.24087495],"('DB00223',)"
82,[0.17777948 0.17777948 0.17777948 ... 0.23435861 0.23435861 0.23435861],"('DB02187',)"
83,[0.17969248 0.17969248 0.17969248 ... 0.23629564 0.23629564 0.23629564],"('DB01410',)"
84,[0.17453128 0.17453128 0.17453128 ... 0.23094162 0.23094162 0.23094162],"('DB00896',)"
85,[0.18846942 0.18846942 0.18846942 ... 0.25003594 0.25003594 0.25003594],"('DB09095',)"
86,[0.19239542 0.19239542 0.19239542 ... 0.25399026 0.25399026 0.25399026],"('DB01234',)"
87,[0.18488963 0.18488963 0.18488963 ... 0.24607983 0.24607983 0.24607983],"('DB01260',)"
88,[0.181399   0.181399   0.181399   ... 0.23675531 0.23675531 0.23675531],"('DB06786',)"
89,[0.18743983 0.18743983 0.18743983 ... 0.24827236 0.24827236 0.24827236],"('DB06781',)"
90,[0.18194386 0.18194386 0.18194386 ... 0.24531531 0.24531531 0.24531531],"('DB01708',)"
91,[0.18137822 0.18137822 0.18137822 ... 0.23987156 0.23987156 0.23987156],"('DB01384',)"
92,[0.17372075 0.17372075 0.17372075 ... 0.23176041 0.23176041 0.23176041],"('DB01380',)"
93,[0.18283781 0.18283781 0.18283781 ... 0.24019012 0.24019012 0.24019012],"('DB08906',)"
94,[0.17606685 0.17606685 0.17606685 ... 0.23146206 0.23146206 0.23146206],"('DB08971',)"
95,[0.19557345 0.19557345 0.19557345 ... 0.25970173 0.25970173 0.25970173],"('DB00253',)"
96,[0.18656698 0.18656698 0.18656698 ... 0.24677202 0.24677202 0.24677202],"('DB00288',)"
97,[0.18006775 0.18006775 0.18006775 ... 0.23792309 0.23792309 0.23792309],"('DB01222',)"
98,[0.19055614 0.19055614 0.19055614 ... 0.2536738  0.2536738  0.2536738 ],"('DB00180',)"
99,[0.17743257 0.17743257 0.17743257 ... 0.23622495 0.23622495 0.23622495],"('DB00324',)"
100,[0.18902183 0.18902183 0.18902183 ... 0.25027588 0.25027588 0.25027588],"('DB00663',)"
101,[0.18556817 0.18556817 0.18556817 ... 0.24759266 0.24759266 0.24759266],"('DB00846',)"
102,[0.18215932 0.18215932 0.18215932 ... 0.23821416 0.23821416 0.23821416],"('DB00873',)"
103,[0.18795234 0.18795234 0.18795234 ... 0.24894005 0.24894005 0.24894005],"('DB00620',)"
104,[0.17570281 0.17570281 0.17570281 ... 0.23358288 0.23358288 0.23358288],"('DB00838',)"
105,[0.18356079 0.18356079 0.18356079 ... 0.23858681 0.23858681 0.23858681],"('DB01013',)"
106,[0.1850456  0.1850456  0.1850456  ... 0.24584273 0.24584273 0.24584273],"('DB00655',)"
107,[0.18069226 0.18069226 0.18069226 ... 0.24239254 0.24239254 0.24239254],"('DB01435',)"
108,[0.17459254 0.17459254 0.17459254 ... 0.2321361  0.2321361  0.2321361 ],"('DB00199',)"
109,[0.17425844 0.17425844 0.17425844 ... 0.22820485 0.22820485 0.22820485],"('DB09227',)"
110,[0.21195048 0.21195048 0.21195048 ... 0.27578026 0.27578026 0.27578026],"('DB06736',)"
111,[0.20482019 0.20482019 0.20482019 ... 0.27247995 0.27247995 0.27247995],"('DB06770',)"
112,[0.17153633 0.17153633 0.17153633 ... 0.23111641 0.23111641 0.23111641],"('DB06777',)"
113,[0.16386482 0.16386482 0.16386482 ... 0.21197936 0.21197936 0.21197936],"('DB00622',)"
114,[0.17835736 0.17835736 0.17835736 ... 0.23615158 0.23615158 0.23615158],"('DB01621',)"
115,[0.18264115 0.18264115 0.18264115 ... 0.24659455 0.24659455 0.24659455],"('DB00495',)"
116,[0.16669887 0.16669887 0.16669887 ... 0.21963486 0.21963486 0.21963486],"('DB00497',)"
117,[0.17379293 0.17379293 0.17379293 ... 0.21978816 0.21978816 0.21978816],"('DB00835',)"
118,[0.19754973 0.19754973 0.19754973 ... 0.26568988 0.26568988 0.26568988],"('DB00836',)"
119,[0.16632581 0.16632581 0.16632581 ... 0.2192845  0.2192845  0.2192845 ],"('DB06403',)"
120,[0.18063834 0.18063834 0.18063834 ... 0.24393725 0.24393725 0.24393725],"('DB00498',)"
121,[0.2065722 0.2065722 0.2065722 ... 0.2727318 0.2727318 0.2727318],"('DB00755',)"
122,[0.18167727 0.18167727 0.18167727 ... 0.24129099 0.24129099 0.24129099],"('DB01349',)"
123,[0.15577616 0.15577616 0.15577616 ... 0.20860574 0.20860574 0.20860574],"('DB00997',)"
124,[0.20092043 0.20092043 0.20092043 ... 0.27174088 0.27174088 0.27174088],"('DB00193',)"
125,[0.20089507 0.20089507 0.20089507 ... 0.2707685  0.2707685  0.2707685 ],"('DB00153',)"
126,[0.17408131 0.17408131 0.17408131 ... 0.22586286 0.22586286 0.22586286],"('DB00808',)"
127,[0.16241184 0.16241184 0.16241184 ... 0.21898392 0.21898392 0.21898392],"('DB01551',)"
128,[0.18534875 0.18534875 0.18534875 ... 0.24654722 0.24654722 0.24654722],"('DB00656',)"
129,[0.20701483 0.20701483 0.20701483 ... 0.27508813 0.27508813 0.27508813],"('DB09236',)"
130,[0.16446783 0.16446783 0.16446783 ... 0.21886066 0.21886066 0.21886066],"('DB00448',)"
131,[0.18325621 0.18325621 0.18325621 ... 0.24668458 0.24668458 0.24668458],"('DB01558',)"
132,[0.16594659 0.16594659 0.16594659 ... 0.22049776 0.22049776 0.22049776],"('DB01559',)"
133,[0.19176069 0.19176069 0.19176069 ... 0.2544907  0.2544907  0.2544907 ],"('DB01244',)"
134,[0.19016951 0.19016951 0.19016951 ... 0.2582387  0.2582387  0.2582387 ],"('DB00812',)"
135,[0.18338734 0.18338734 0.18338734 ... 0.24960938 0.24960938 0.24960938],"('DB08918',)"
136,[0.18110159 0.18110159 0.18110159 ... 0.24473846 0.24473846 0.24473846],"('DB00924',)"
137,[0.1873199  0.1873199  0.1873199  ... 0.24670893 0.24670893 0.24670893],"('DB04946',)"
138,[0.18148778 0.18148778 0.18148778 ... 0.2452558  0.2452558  0.2452558 ],"('DB00091',)"
139,[0.15905654 0.15905654 0.15905654 ... 0.21022347 0.21022347 0.21022347],"('DB00904',)"
140,[0.22220582 0.22220582 0.22220582 ... 0.29649237 0.29649237 0.29649237],"('DB01221',)"
141,[0.17613131 0.17613131 0.17613131 ... 0.23562467 0.23562467 0.23562467],"('DB00759',)"
142,[0.18734103 0.18734103 0.18734103 ... 0.24828815 0.24828815 0.24828815],"('DB06282',)"
143,[0.2088275 0.2088275 0.2088275 ... 0.2755558 0.2755558 0.2755558],"('DB01259',)"
144,[0.16972414 0.16972414 0.16972414 ... 0.22474101 0.22474101 0.22474101],"('DB01177',)"
145,[0.16036904 0.16036904 0.16036904 ... 0.21569005 0.21569005 0.21569005],"('DB08910',)"
146,[0.19501477 0.19501477 0.19501477 ... 0.2547123  0.2547123  0.2547123 ],"('DB00843',)"
147,[0.18427092 0.18427092 0.18427092 ... 0.24387395 0.24387395 0.24387395],"('DB01008',)"
148,[0.17243765 0.17243765 0.17243765 ... 0.23221093 0.23221093 0.23221093],"('DB09297',)"
149,[0.15358143 0.15358143 0.15358143 ... 0.19788244 0.19788244 0.19788244],"('DB11613',)"
150,[0.20544627 0.20544627 0.20544627 ... 0.27188545 0.27188545 0.27188545],"('DB00481',)"
151,[0.1719236  0.1719236  0.1719236  ... 0.22774848 0.22774848 0.22774848],"('DB00682',)"
152,[0.17977586 0.17977586 0.17977586 ... 0.24364868 0.24364868 0.24364868],"('DB01006',)"
153,[0.19550309 0.19550309 0.19550309 ... 0.26776433 0.26776433 0.26776433],"('DB08992',)"
154,[0.17615467 0.17615467 0.17615467 ... 0.23860252 0.23860252 0.23860252],"('DB00540',)"
155,[0.16281587 0.16281587 0.16281587 ... 0.22103697 0.22103697 0.22103697],"('DB00849',)"
156,[0.1789673 0.1789673 0.1789673 ... 0.2419154 0.2419154 0.2419154],"('DB00567',)"
157,[0.19104213 0.19104213 0.19104213 ... 0.25404704 0.25404704 0.25404704],"('DB00543',)"
158,[0.17934233 0.17934233 0.17934233 ... 0.23870564 0.23870564 0.23870564],"('DB06737',)"
159,[0.18932381 0.18932381 0.18932381 ... 0.25450164 0.25450164 0.25450164],"('DB01076',)"
160,[0.17597945 0.17597945 0.17597945 ... 0.23502985 0.23502985 0.23502985],"('DB00188',)"
161,[0.19459566 0.19459566 0.19459566 ... 0.26290843 0.26290843 0.26290843],"('DB00316',)"
162,[0.19639364 0.19639364 0.19639364 ... 0.25515953 0.25515953 0.25515953],"('DB01392',)"
163,[0.16338041 0.16338041 0.16338041 ... 0.20982853 0.20982853 0.20982853],"('DB01151',)"
164,[0.19149485 0.19149485 0.19149485 ... 0.25482616 0.25482616 0.25482616],"('DB01396',)"
165,[0.17803273 0.17803273 0.17803273 ... 0.23846161 0.23846161 0.23846161],"('DB00544',)"
166,[0.1708138  0.1708138  0.1708138  ... 0.22360364 0.22360364 0.22360364],"('DB01194',)"
167,[0.18155205 0.18155205 0.18155205 ... 0.23244032 0.23244032 0.23244032],"('DB00936',)"
168,[0.16277505 0.16277505 0.16277505 ... 0.21377927 0.21377927 0.21377927],"('DB04743',)"
169,[0.19225487 0.19225487 0.19225487 ... 0.24519277 0.24519277 0.24519277],"('DB09289',)"
170,[0.19820279 0.19820279 0.19820279 ... 0.26663455 0.26663455 0.26663455],"('DB06708',)"
171,[0.1706209  0.1706209  0.1706209  ... 0.22807625 0.22807625 0.22807625],"('DB00531',)"
172,[0.1737443  0.1737443  0.1737443  ... 0.23614088 0.23614088 0.23614088],"('DB00503',)"
173,[0.16911605 0.16911605 0.16911605 ... 0.2213664  0.2213664  0.2213664 ],"('DB00502',)"
174,[0.18886843 0.18886843 0.18886843 ... 0.2523723  0.2523723  0.2523723 ],"('DB09090',)"
175,[0.15720168 0.15720168 0.15720168 ... 0.21015275 0.21015275 0.21015275],"('DB01136',)"
176,[0.18666881 0.18666881 0.18666881 ... 0.25079742 0.25079742 0.25079742],"('DB00987',)"
177,[0.16944873 0.16944873 0.16944873 ... 0.23080635 0.23080635 0.23080635],"('DB01132',)"
178,[0.1692479  0.1692479  0.1692479  ... 0.21983558 0.21983558 0.21983558],"('DB00983',)"
179,[0.16232328 0.16232328 0.16232328 ... 0.21827647 0.21827647 0.21827647],"('DB00490',)"
180,[0.17051724 0.17051724 0.17051724 ... 0.22326705 0.22326705 0.22326705],"('DB01138',)"
181,[0.15871216 0.15871216 0.15871216 ... 0.20712349 0.20712349 0.20712349],"('DB00906',)"
182,[0.18419757 0.18419757 0.18419757 ... 0.24548173 0.24548173 0.24548173],"('DB06145',)"
183,[0.17316154 0.17316154 0.17316154 ... 0.23137423 0.23137423 0.23137423],"('DB06144',)"
184,[0.18123803 0.18123803 0.18123803 ... 0.24093047 0.24093047 0.24093047],"('DB01544',)"
185,[0.1643703  0.1643703  0.1643703  ... 0.22013211 0.22013211 0.22013211],"('DB01183',)"
186,[0.20148176 0.20148176 0.20148176 ... 0.27085388 0.27085388 0.27085388],"('DB00321',)"
187,[0.18969035 0.18969035 0.18969035 ... 0.2471495  0.2471495  0.2471495 ],"('DB01431',)"
188,[0.17983863 0.17983863 0.17983863 ... 0.24278957 0.24278957 0.24278957],"('DB08877',)"
189,[0.17662895 0.17662895 0.17662895 ... 0.23193774 0.23193774 0.23193774],"('DB00224',)"
190,[0.18397152 0.18397152 0.18397152 ... 0.24188286 0.24188286 0.24188286],"('DB00220',)"
191,[0.20656824 0.20656824 0.20656824 ... 0.28198743 0.28198743 0.28198743],"('DB00433',)"
192,[0.19484615 0.19484615 0.19484615 ... 0.26133078 0.26133078 0.26133078],"('DB01218',)"
193,[0.17073739 0.17073739 0.17073739 ... 0.2343092  0.2343092  0.2343092 ],"('DB01219',)"
194,[0.16840017 0.16840017 0.16840017 ... 0.2325105  0.2325105  0.2325105 ],"('DB01065',)"
195,[0.16200009 0.16200009 0.16200009 ... 0.21344188 0.21344188 0.21344188],"('DB01215',)"
196,[0.16897416 0.16897416 0.16897416 ... 0.22432733 0.22432733 0.22432733],"('DB00356',)"
197,[0.1858095  0.1858095  0.1858095  ... 0.24734849 0.24734849 0.24734849],"('DB00347',)"
198,[0.16646111 0.16646111 0.16646111 ... 0.22232676 0.22232676 0.22232676],"('DB00346',)"
199,[0.19141403 0.19141403 0.19141403 ... 0.24086198 0.24086198 0.24086198],"('DB00344',)"
200,[0.16458398 0.16458398 0.16458398 ... 0.21731296 0.21731296 0.21731296],"('DB00349',)"
201,[0.17882085 0.17882085 0.17882085 ... 0.24138898 0.24138898 0.24138898],"('DB01110',)"
202,[0.19249791 0.19249791 0.19249791 ... 0.25911778 0.25911778 0.25911778],"('DB00359',)"
203,[0.17315511 0.17315511 0.17315511 ... 0.23613936 0.23613936 0.23613936],"('DB06725',)"
204,[0.16963339 0.16963339 0.16963339 ... 0.2270695  0.2270695  0.2270695 ],"('DB00425',)"
205,[0.17642868 0.17642868 0.17642868 ... 0.23228249 0.23228249 0.23228249],"('DB00420',)"
